query_id,rank,doc_id,is_labeled_relevant,source_file,page,page_end,score,matched_terms,title,snippet
q02,12,sales_core_p0096_002,False,sales_core.pdf,96,96,12,Lightning Experience,Sales Core Guide p96 chunk 2: Troubleshoot Lead Conversion EDITIONS Available in Salesforce Classic not available,Troubleshoot Lead Conversion EDITIONS Available in Salesforce Classic not available in all orgs and Lightning Experience Available in Starter Essentials Group Professional Enterprise Performance Unlimited Pro Suite...
q03,1,agentforce_contact_center_5_30_2026_p0584_010,True,agentforce_contact_center_5-30-2026.pdf,584,584,59,Email-to-Case|routing address|email services address,Agentforce Contact Center Guide p584 chunk 10: automations and the Omni-Channel flow that routes emails verify that,automations and the Omni-Channel flow that routes emails verify that you exclude email cases from any Case automations that route cases when they are created Step 1 Create Your Routing Address First create a routing...
q03,2,agentforce_contact_center_5_30_2026_p0576_002,True,agentforce_contact_center_5-30-2026.pdf,576,576,29,Email-to-Case|incoming email|routing address|email services address,Agentforce Contact Center Guide p576 chunk 2: REQUIRED EDITIONS REQUIRED EDITIONS View supported editions USER PERMISSIONS NEEDED,REQUIRED EDITIONS REQUIRED EDITIONS View supported editions USER PERMISSIONS NEEDED To enable and set up Email-to-Case Customize Application Tip Check out this feature in Salesforce Go Find a guided setup experience...
q03,3,agentforce_contact_center_5_30_2026_p0577_003,True,agentforce_contact_center_5-30-2026.pdf,577,577,25,Email-to-Case|create case|incoming email|routing address,Agentforce Contact Center Guide p577 chunk 3: b b From the Support Settings page in Setup select,b b From the Support Settings page in Setup select a Default Case Owner and an Automated Case User When you add routing addresses you also have the option to add custom case ownership preferences that override the...
q03,4,agentforce_contact_center_5_30_2026_p0575_001,True,agentforce_contact_center_5-30-2026.pdf,575,575,21,Email-to-Case|support email|routing address|email services address,Agentforce Contact Center Guide p575 chunk 1: Limit Value process up to 10 000 email messages a,Limit Value process up to 10 000 email messages a day for all email services including Email-to-Case Messages that exceed this limit are bounced discarded or queued for processing the next day depending on how you...
q03,5,agentforce_contact_center_5_30_2026_p0593_019,False,agentforce_contact_center_5-30-2026.pdf,593,593,34,Email-to-Case|incoming email|routing address,Agentforce Contact Center Guide p593 chunk 19: How Email-to-Case Handles Processing Errors If Email-to-Case receives a Salesforce,How Email-to-Case Handles Processing Errors If Email-to-Case receives a Salesforce platform or database error when processing an incoming email it retries multiple times over a 30-hour period If Email-to-Case still...
q03,6,agentforce_contact_center_5_30_2026_p0592_018,False,agentforce_contact_center_5-30-2026.pdf,592,592,32,Email-to-Case|incoming email|routing address,Agentforce Contact Center Guide p592 chunk 18: representation of the latest action that occurred on that email,representation of the latest action that occurred on that email Inbound Email To and CC Address Storage Addresses for inbound email exhibit these behaviors Duplicate email addresses including email addresses with...
q03,7,agentforce_contact_center_5_30_2026_p0585_011,False,agentforce_contact_center_5-30-2026.pdf,585,585,29,Email-to-Case|create case|routing address,Agentforce Contact Center Guide p585 chunk 11: sets 6 6 Test your email routing address by manually,sets 6 6 Test your email routing address by manually sending an email to it Verify that a case was created to track the email and check that its default settings match the routing address settings 7 7 After you add an...
q03,8,agentforce_contact_center_5_30_2026_p0587_013,False,agentforce_contact_center_5-30-2026.pdf,587,587,23,Email-to-Case|routing address,Agentforce Contact Center Guide p587 chunk 13: Setting Description created to track emails converted to cases As,Setting Description created to track emails converted to cases As an alternative to selecting a Case Owner leave this field blank and create assignment rules that assign email cases to queues based on keywords For...
q03,9,agentforce_contact_center_5_30_2026_p0589_015,False,agentforce_contact_center_5-30-2026.pdf,589,589,20,Email-to-Case|routing address,Agentforce Contact Center Guide p589 chunk 15: If you add the GENERATED_CONTENT placeholder to an email or,If you add the GENERATED_CONTENT placeholder to an email or email template and then use Draft With Einstein the placeholder is replaced with the content generated by Einstein If you don t use this placeholder in a...
q03,10,agentforce_contact_center_5_30_2026_p0594_020,False,agentforce_contact_center_5-30-2026.pdf,594,594,19,Email-to-Case|routing address,Agentforce Contact Center Guide p594 chunk 20: Tip Using the same email address for Email-to-Case routing and,Tip Using the same email address for Email-to-Case routing and for other purposes isn t recommended because doing so can result in email loops Some Email Addresses Are Stripped Out on Email-to-Case Replies When...
q03,11,agentforce_contact_center_5_30_2026_p0583_009,False,agentforce_contact_center_5-30-2026.pdf,583,583,17,Email-to-Case|routing address|email services address,Agentforce Contact Center Guide p583 chunk 9: Setting What It Does Considerations attachments Invoke triggers on status,Setting What It Does Considerations attachments Invoke triggers on status change from New to Read Reply with new content only Insert email threading token in email subject Place user signatures before email threads...
q03,12,agentforce_contact_center_5_30_2026_p0597_023,False,agentforce_contact_center_5-30-2026.pdf,597,597,17,Email-to-Case|incoming email,Agentforce Contact Center Guide p597 chunk 23: Email threading tokens are a unique 23-character string formatted with,Email threading tokens are a unique 23-character string formatted with a prefix and suffix Here s an example thread pp5XPGfmNf2hRZdRCWnrohc When Lightning threading is in use threading tokens are added to the email...
q04,1,salesforce_apex_developer_guide_p0364_028,True,salesforce_apex_developer_guide.pdf,364,364,24,governor limit email warnings|warning email|governor limits|Apex warning email|email warnings,Salesforce Apex Developer Guide p364 chunk 28: Usage Value 700000 Maximum Limit 800000 When you use the,Usage Value 700000 Maximum Limit 800000 When you use the OrgLimits class keep these considerations in mind If the Use elastic limits for asynchronous Apex jobs Beta setting isn t enabled the OrgLimits getMap method...
q04,2,mc_journeys_and_automations_p0266_023,False,mc_journeys_and_automations.pdf,266,266,6,governor limits,Marketing Cloud Journeys and Automations p266 chunk 23: Note The Test Mode feature in Journey Builder doesn t,Note The Test Mode feature in Journey Builder doesn t support Salesforce Entry Sources The integration between Engagement and Sales Cloud uses Flows Process Builder Apex Platform Events and SOAP APIs Therefore...
q04,3,salesforce_apex_developer_guide_p0290_017,False,salesforce_apex_developer_guide.pdf,290,290,6,governor limits,Salesforce Apex Developer Guide p290 chunk 17: This is an example of a flawed programming pattern It,This is an example of a flawed programming pattern It assumes that only one record is pulled in during a trigger invocation While this might support most user interface events it does not support bulk operations...
q04,4,salesforce_apex_developer_guide_p0291_018,False,salesforce_apex_developer_guide.pdf,291,291,6,governor limits,Salesforce Apex Developer Guide p291 chunk 18: When to UseAsynchronous Apex Feature Batch Apex For long-running jobs,When to UseAsynchronous Apex Feature Batch Apex For long-running jobs with large data volumes that need to be performed in batches such as database maintenance jobs For jobs that need larger query results than regular...
q04,5,salesforce_apex_developer_guide_p0353_026,False,salesforce_apex_developer_guide.pdf,353,353,6,governor limits,Salesforce Apex Developer Guide p353 chunk 26: System assertNotEquals null m Add a new invoice Invoice_Statement__c i,System assertNotEquals null m Add a new invoice Invoice_Statement__c i new Invoice_Statement__c Description__c pDesc insert i Add a new line item to the invoice Line_Item__c li new Line_Item__c Name 1...
q04,6,extend_click_automate_p1002_028,False,extend_click_automate.pdf,1002,1002,3,warning email,Salesforce Flow and Click-Based Automation Guide p1002 chunk 28: Important Starting in Winter 23 you can t create new,Important Starting in Winter 23 you can t create new workflow rules You can still activate deactivate and edit any existing workflow rules To migrate existing workflow rules use the Migrate to Flow tool on page 894...
q04,7,sales_core_p0102_003,False,sales_core.pdf,102,102,3,governor limits,Sales Core Guide p102 chunk 3: Considerations for Converting Leads EDITIONS Available in Salesforce Classic not,Considerations for Converting Leads EDITIONS Available in Salesforce Classic not available in all orgs and Lightning Experience Available in Starter Essentials Group Professional Enterprise Performance Unlimited Pro...
q04,8,salesforce_apex_developer_guide_p0141_003,False,salesforce_apex_developer_guide.pdf,141,141,3,governor limits,Salesforce Apex Developer Guide p141 chunk 3: Changing a field or object name Converting from one data,Changing a field or object name Converting from one data type to another Deleting a field or object Making certain organization-wide changes such as record sharing field history tracking or record types Data...
q04,9,salesforce_apex_developer_guide_p0142_004,False,salesforce_apex_developer_guide.pdf,142,142,3,governor limits,Salesforce Apex Developer Guide p142 chunk 4: The for loop iterates over contacts For each contact if,The for loop iterates over contacts For each contact if the department field matches a certain value it sets a new value for the Description field If the list contains more than items the 151st update returns an...
q04,10,salesforce_apex_developer_guide_p0268_013,False,salesforce_apex_developer_guide.pdf,268,268,3,governor limits,Salesforce Apex Developer Guide p268 chunk 13: Invoking Apex You can run Apex code with triggers or,Invoking Apex You can run Apex code with triggers or asynchronously or as SOAP or REST web services Apex Transactions and Governor Limits Apex Transactions ensure the integrity of data Apex code runs as part of atomic...
q04,11,salesforce_apex_developer_guide_p0271_015,False,salesforce_apex_developer_guide.pdf,271,273,3,governor limits,Salesforce Apex Developer Guide p271 chunk 15: a trigger that changes an object or field with history,a trigger that changes an object or field with history tracking enabled no history of the change is recorded Callouts must be made asynchronously from a trigger so that the trigger process isn t blocked while waiting...
q04,12,salesforce_apex_developer_guide_p0311_020,False,salesforce_apex_developer_guide.pdf,311,311,3,governor limits,Salesforce Apex Developer Guide p311 chunk 20: Firing Platform Events from Batch Apex Batch Apex classes can,Firing Platform Events from Batch Apex Batch Apex classes can fire platform events when encountering an error or exception Clients listening on an event can obtain actionable information such as how often the event...
q05,1,sales_core_p0280_027,True,sales_core.pdf,280,284,126,Contact|multiple Accounts|related contacts|contacts to multiple accounts|Related Accounts|Related Contacts,Sales Core Guide p280 chunk 27: Set Up Contacts to Multiple Accounts EDITIONS Available in both,Set Up Contacts to Multiple Accounts EDITIONS Available in both Salesforce Classic not available in all orgs and Lightning Experience Available in Contact Manager Group Professional Enterprise Performance Unlimited...
q05,2,sales_core_p0280_028,True,sales_core.pdf,280,284,62,Contact|multiple Accounts|related contacts|contacts to multiple accounts|Related Accounts|Related Contacts,Sales Core Guide p280 chunk 28: From the Available Fields column select the Direct field and,From the Available Fields column select the Direct field and click Add c Click OK 7 Because the Related Contacts related list includes all direct contacts you can remove the Contacts related list on your account page...
q05,3,sales_core_p0288_030,False,sales_core.pdf,288,288,77,Contact|multiple Accounts|related contacts|contacts to multiple accounts|Related Accounts|Related Contacts,Sales Core Guide p288 chunk 30: Most features continue to reference a contact s primary account,Most features continue to reference a contact s primary account For example duplicate management uses the primary account when comparing records For that reason indirect account contact relationships can t be included...
q05,4,sales_core_p0287_029,False,sales_core.pdf,287,287,70,Contact|multiple Accounts|related contacts|contacts to multiple accounts|Related Accounts|Related Contacts,Sales Core Guide p287 chunk 29: Create and Edit Relationships Between Contacts and Accounts EDITIONS Available,Create and Edit Relationships Between Contacts and Accounts EDITIONS Available in both Salesforce Classic not available in all orgs and Lightning Experience Available in Contact Manager Group Professional Enterprise...
q05,5,sales_core_p0277_026,False,sales_core.pdf,277,277,59,Contact|multiple Accounts|contacts to multiple accounts,Sales Core Guide p277 chunk 26: After a contact is created automatically the ContactSource field on,After a contact is created automatically the ContactSource field on the Contact record is set to Auto Create SEE ALSO Considerations for Automatic Contact Creation Contacts to Multiple Accounts EDITIONS Available in...
q05,6,sales_core_p0296_032,False,sales_core.pdf,296,296,59,Contact,Sales Core Guide p296 chunk 32: Add and Manage Opportunity Contact Roles EDITIONS Available in both,Add and Manage Opportunity Contact Roles EDITIONS Available in both Salesforce Classic and Lightning Experience Available in All Editions USER PERMISSIONS To add or edit opportunity contact roles Edit on opportunities...
q05,7,sales_core_p0292_031,False,sales_core.pdf,292,292,48,Contact,Sales Core Guide p292 chunk 31: Add and Manage Contact Roles in Salesforce Classic EDITIONS Available,Add and Manage Contact Roles in Salesforce Classic EDITIONS Available in Salesforce Classic Available in all editions USER PERMISSIONS To add or edit contact roles Edit on the object the contact roles are on such as...
q05,8,engagement_audience_builder_and_contact_builder_5_30_2026_p0183_015,False,engagement_audience_builder_and_contact_builder_5-30-2026.pdf,183,183,34,Contact,Marketing Cloud Audience Builder and Contact Builder p183 chunk 15: the synchronized users leads and contacts are registered as contacts,the synchronized users leads and contacts are registered as contacts in Engagement at the time of sync They re assigned a channel address only when Engagement sends a message to them Also account for contacts that don...
q05,9,engagement_audience_builder_and_contact_builder_5_30_2026_p0168_011,False,engagement_audience_builder_and_contact_builder_5-30-2026.pdf,168,168,33,Contact,Marketing Cloud Audience Builder and Contact Builder p168 chunk 11: extension can include multiple attributes You can link data extensions,extension can include multiple attributes You can link data extensions to the contact record or different data extensions including data extensions from other attribute groups Create a Population in Contact Builder...
q05,10,engagement_audience_builder_and_contact_builder_5_30_2026_p0182_014,False,engagement_audience_builder_and_contact_builder_5-30-2026.pdf,182,182,30,Contact,Marketing Cloud Audience Builder and Contact Builder p182 chunk 14: Enterprise 2 0 Contacts Enterprise 2 0 accounts include all,Enterprise 2 0 Contacts Enterprise 2 0 accounts include all child business units in the Contact Builder All Contacts list count A child business unit shows contact counts when that business unit uses populations in...
q05,11,sales_core_p0102_003,False,sales_core.pdf,102,102,30,Contact|multiple Accounts|contacts to multiple accounts,Sales Core Guide p102 chunk 3: Considerations for Converting Leads EDITIONS Available in Salesforce Classic not,Considerations for Converting Leads EDITIONS Available in Salesforce Classic not available in all orgs and Lightning Experience Available in Starter Essentials Group Professional Enterprise Performance Unlimited Pro...
q05,12,mc_journeys_and_automations_p0239_008,False,mc_journeys_and_automations.pdf,239,239,28,Contact,Marketing Cloud Journeys and Automations p239 chunk 8: Select Use email attribute from Entry Source If a contact,Select Use email attribute from Entry Source If a contact s email address is unlikely to change or a journey doesn t allow re-entry use the email for the contact at entry Considerations Many entry source data...
q06,1,sales_core_p0166_020,True,sales_core.pdf,166,166,58,Quote|Opportunity|multiple quotes|prices,Sales Core Guide p166 chunk 20: Manage Your Quotes EDITIONS Available in Salesforce Classic and Lightning,Manage Your Quotes EDITIONS Available in Salesforce Classic and Lightning Experience Available in Performance and Developer Editions In Sales Cloud also available in Professional Enterprise and Unlimited Editions Show...
q06,2,sales_core_p0175_021,False,sales_core.pdf,175,175,59,Quote|Opportunity|prices,Sales Core Guide p175 chunk 21: Considerations for Deleting Quotes EDITIONS Available in Salesforce Classic not,Considerations for Deleting Quotes EDITIONS Available in Salesforce Classic not available in all orgs and Lightning Experience Available in Performance and Developer Editions In Sales Cloud also available in...
q06,3,sales_core_p0296_032,False,sales_core.pdf,296,296,35,Opportunity,Sales Core Guide p296 chunk 32: Add and Manage Opportunity Contact Roles EDITIONS Available in both,Add and Manage Opportunity Contact Roles EDITIONS Available in both Salesforce Classic and Lightning Experience Available in All Editions USER PERMISSIONS To add or edit opportunity contact roles Edit on opportunities...
q06,4,sales_core_p0126_013,False,sales_core.pdf,126,126,22,Quote|Opportunity|prices,Sales Core Guide p126 chunk 13: Considerations for Setting Prices EDITIONS Orders available in Products product,Considerations for Setting Prices EDITIONS Orders available in Products product Salesforce Classic schedules price books and quotes available in both Salesforce Classic and Lightning Experience Quotes available in...
q06,5,sales_core_p0118_010,False,sales_core.pdf,118,118,20,Quote|Opportunity|prices,Sales Core Guide p118 chunk 10: What status is assigned to web-generated leads All new web,What status is assigned to web-generated leads All new web leads are marked with a status equal to the default status that your administrator selects when editing the Lead Status picklist values In addition web-...
q06,6,sales_core_p0138_019,False,sales_core.pdf,138,138,18,Quote|Opportunity,Sales Core Guide p138 chunk 19: DescriptionField The internal code or product number used to identify,DescriptionField The internal code or product number used to identify the product Product Code The standard price for the product This field is derived and doesn t exist on the underlying PricebookEntry standard...
q06,7,sales_core_p0414_035,False,sales_core.pdf,414,414,16,Opportunity,Sales Core Guide p414 chunk 35: Forecast Category The category within the sales cycle to which,Forecast Category The category within the sales cycle to which an opportunity is assigned based on its opportunity stage The standard forecast categories are Pipeline Best Case Commit Omitted not included in forecasts...
q06,8,sales_core_p0378_034,False,sales_core.pdf,378,378,13,Opportunity,Sales Core Guide p378 chunk 34: HierarchyDate TypeGroupMeasureObject Custom currency revenue Product familyLine Item Schedule Used,HierarchyDate TypeGroupMeasureObject Custom currency revenue Product familyLine Item Schedule Used for product family grouping and required for schedule date forecasts Territory Schedule dateRevenue Quantity User role...
q06,9,sales_core_p0124_011,False,sales_core.pdf,124,124,12,Quote|prices,Sales Core Guide p124 chunk 11: Set and Edit Product Prices in Salesforce Classic EDITIONS Orders,Set and Edit Product Prices in Salesforce Classic EDITIONS Orders available in Products product Salesforce Classic schedules price books and quotes available in both Salesforce Classic and Lightning Experience Quotes...
q06,10,sales_core_p0131_014,False,sales_core.pdf,131,131,12,prices,Sales Core Guide p131 chunk 14: Manage Price Books EDITIONS Available in both Salesforce Classic not,Manage Price Books EDITIONS Available in both Salesforce Classic not available in all orgs and Lightning Experience Available in Professional Enterprise Performance Unlimited and Developer Editions Price books track...
q06,11,sales_core_p0133_016,False,sales_core.pdf,133,133,12,Quote|Opportunity,Sales Core Guide p133 chunk 16: Considerations for Creating and Maintaining Price Books EDITIONS Orders available,Considerations for Creating and Maintaining Price Books EDITIONS Orders available in Products product Salesforce Classic schedules price books and quotes available in both Salesforce Classic and Lightning Experience...
q06,12,sales_core_p0134_017,False,sales_core.pdf,134,134,12,Quote|Opportunity|prices,Sales Core Guide p134 chunk 17: Does your sales team want to see prices on the,Does your sales team want to see prices on the product detail page If your organization-wide default for price books is No Access you can give your entire organization View Only access to your standard price book...
q07,1,extend_click_automate_p0037_006,True,extend_click_automate.pdf,37,37,71,Flow|before-save|record-triggered flow,Salesforce Flow and Click-Based Automation Guide p37 chunk 6: Flows that make before-save updates are typically simpler to build,Flows that make before-save updates are typically simpler to build than other types of flows The Record global variable contains the values from the record that triggers the flow to run As a result there s no need to...
q07,2,extend_click_automate_p0036_005,True,extend_click_automate.pdf,36,36,48,Flow|before-save|record-triggered flow,Salesforce Flow and Click-Based Automation Guide p36 chunk 5: Record-triggered flows created with a flow template don t appear,Record-triggered flows created with a flow template don t appear in Flow Trigger Explorer SEE ALSO Guidelines for Defining the Run Order of Record-Triggered Flows for an Object Schedule Triggers for Flows That Run for...
q07,3,extend_click_automate_p0224_011,False,extend_click_automate.pdf,224,224,73,Flow|record-triggered flow,Salesforce Flow and Click-Based Automation Guide p224 chunk 11: 3 Add a Flows action to the process a For,3 Add a Flows action to the process a For Flow search for and select the flow that you created b Optionally click Add Row to set values for the flow s variables 4 Activate the process Launch a Flow from a Workflow...
q07,4,extend_click_automate_p1014_029,False,extend_click_automate.pdf,1014,1014,71,Flow|record-triggered flow,Salesforce Flow and Click-Based Automation Guide p1014 chunk 29: then save your changes For information about finding and deleting,then save your changes For information about finding and deleting time-based workflow actions in the queue see Monitor Pending Workflow Actions on page 1021 You also can t add or remove time triggers if The workflow...
q07,5,extend_click_automate_p0888_024,False,extend_click_automate.pdf,888,888,63,Flow|before-save|field update|record-triggered flow,Salesforce Flow and Click-Based Automation Guide p888 chunk 24: Salesforce Admins Blog Use Flow Trigger Explorer to Easily View,Salesforce Admins Blog Use Flow Trigger Explorer to Easily View All Your Triggered Automation in One Place Salesforce Architects Record-Triggered Automation Guide Salesforce Help Record Triggers for Flows That Make...
q07,6,extend_click_automate_p0238_013,False,extend_click_automate.pdf,238,244,59,Flow|record-triggered flow,Salesforce Flow and Click-Based Automation Guide p238 chunk 13: Processes with Salesforce Flow The debug details for the run,Processes with Salesforce Flow The debug details for the run appear in a panel on the right 6 If you selected Debug wait element behavior when you set the debug options select a Wait Path and then click Continue the...
q07,7,extend_click_automate_p1026_030,False,extend_click_automate.pdf,1026,1026,56,Flow|field update|record-triggered flow,Salesforce Flow and Click-Based Automation Guide p1026 chunk 30: Workflow Terminology EDITIONS Available in both Lightning Experience and Salesforce,Workflow Terminology EDITIONS Available in both Lightning Experience and Salesforce Classic Flow triggers are available in Salesforce Classic Available in Enterprise Performance Unlimited and Developer Editions...
q07,8,extend_click_automate_p0238_012,False,extend_click_automate.pdf,238,244,53,Flow,Salesforce Flow and Click-Based Automation Guide p238 chunk 12: Debug a Flow in Flow Builder If you re troubleshooting,Debug a Flow in Flow Builder If you re troubleshooting a flow that fails the debug option in Flow Builder can be your best friend See real-time details of what your flow does set input variables and restart the flow...
